YEAR,Location,Death Rate,"Deaths ",URL
2016,IA,9.2,288,/nchs/state-stats/states/ia.html
2016,KS,13.4,383,/nchs/state-stats/states/ks.html
2016,KY,17.5,772,/nchs/state-stats/states/ky.html
2016,LA,21.3,987,/nchs/state-stats/states/la.html
2016,ME,8.3,123,/nchs/state-stats/states/me.html
2016,MD,11.9,707,/nchs/state-stats/states/md.html
2016,MA,3.4,242,/nchs/state-stats/states/ma.html
2016,MI,12.3,1230,/nchs/state-stats/states/mi.html
2016,MN,7.6,432,/nchs/state-stats/states/mn.html
2016,MS,19.9,587,/nchs/state-stats/states/ms.html
2016,MO,19,1144,/nchs/state-stats/states/mo.html
2016,MT,18.9,194,/nchs/state-stats/states/mt.html
2016,NE,9.1,171,/nchs/state-stats/states/ne.html
2016,NV,16.8,498,/nchs/state-stats/states/nv.html
2016,NH,9.3,132,/nchs/state-stats/states/nh.html
2016,NJ,5.5,485,/nchs/state-stats/states/nj.html
2016,NM,18.1,383,/nchs/state-stats/states/nm.html
2016,NY,4.4,900,/nchs/state-stats/states/ny.html
2016,NC,13.7,1409,/nchs/state-stats/states/nc.html
2016,ND,11.9,90,/nchs/state-stats/states/nd.html
2016,OH,12.9,1524,/nchs/state-stats/states/oh.html
2016,OK,19.6,766,/nchs/state-stats/states/ok.html
2016,OR,11.9,513,/nchs/state-stats/states/or.html
2016,PA,12,1555,/nchs/state-stats/states/pa.html
2016,RI,4.1,49,/nchs/state-stats/states/ri.html
2016,SC,17.7,891,/nchs/state-stats/states/sc.html
2016,SD,13.4,108,/nchs/state-stats/states/sd.html
2016,TN,17.1,1148,/nchs/state-stats/states/tn.html
2016,TX,12.1,3353,/nchs/state-stats/states/tx.html
2016,UT,12.9,370,/nchs/state-stats/states/ut.html
2016,VT,11.1,78,/nchs/state-stats/states/vt.html
2016,VA,12.1,1049,/nchs/state-stats/states/va.html
2016,WA,9,686,/nchs/state-stats/states/wa.html
2016,WV,17.5,332,/nchs/state-stats/states/wv.html
2016,WI,11.4,664,/nchs/state-stats/states/wi.html
2016,WY,17.4,101,/nchs/state-stats/states/wy.html
2015,AL,19.6,958,/nchs/state-stats/states/al.html
2015,AK,23.4,177,/nchs/state-stats/states/ak.html
2015,AZ,13.8,970,/nchs/state-stats/states/az.html
2015,AR,16.9,520,/nchs/state-stats/states/ar.html
2015,CA,7.7,3095,/nchs/state-stats/states/ca.html
2015,CO,12.6,701,/nchs/state-stats/states/co.html
2015,CT,5.3,189,/nchs/state-stats/states/ct.html
2015,DE,12.1,112,/nchs/state-stats/states/de.html
2015,District of Columbia,15.2,120,/nchs/state-stats/states/dc.html
2015,FL,12,2559,/nchs/state-stats/states/fl.html
2015,GA,14.1,1448,/nchs/state-stats/states/ga.html
2015,HI,3.6,55,/nchs/state-stats/states/hi.html
2015,ID,14.7,247,/nchs/state-stats/states/id.html
2015,IL,9.5,1220,/nchs/state-stats/states/il.html
2015,IN,12.7,846,/nchs/state-stats/states/in.html
2015,IA,7.8,247,/nchs/state-stats/states/ia.html
2015,KS,11.4,330,/nchs/state-stats/states/ks.html
2015,KY,15.2,694,/nchs/state-stats/states/ky.html
